name,connection
"JLab - JBuds Lux ANC Wireless Bluetooth Over-Ear Headphones with Active Noise Cancelling, Spatial Audio & 70+ Hour Battery - Graphite",wireless
Sony - WH-1000XM6- Best Wireless Noise Cancelling Headphones - Midnight Blue,wireless
Bose - QuietComfort Wireless Noise Cancelling Over-the-Ear Bluetooth Headphones - Sandstone,wireless
Sony - WH-1000XM5 Wireless Noise Cancelling Over-the-Ear Headphones - Black,wireless
Sennheiser - MOMEMTUM 4 Wireless Adaptive Noise-Canceling Over-The-Ear Headphones - Denim,wireless
Sony - WHRF400 RF Wireless Headphones - Black,wireless
Marshall - Major V Wireless On-Ear Bluetooth Headphones with Lightweight Foldable Design and Microphone for Calls - Brown,wireless
"Apple - AirPods Pro 3, Wireless Active Noise Cancelling Earbuds with Heart Rate Sensing Feature - White",wireless
"Tronsmart - Q20 Active Noise Cancelling Headphones, Wireless Over-Ear Bluetooth Headphones, 60H Playtime, Deep Bass, Comfort Fit - White",wireless
Samsung - Galaxy Buds3 Pro Wireless Earbud Headphones - Silver,wireless
Beats - Solo 4 Wireless On-Ear Headphones - Matte Black,wireless
"Soundcore - by Anker Q20i Over-Ear Headphones with Active Noise Cancelling, Deep Bass, and 40-Hour Playtime - Black",unknown
Beats - Powerbeats Pro 2 True Wireless Active Noise Canceling Earbuds - Hyper Purple,wireless
Beats - Studio Pro - Wireless Noise Cancelling Over-the-Ear Headphones - Black,wireless
Bose - QuietComfort Ultra Wireless Noise Cancelling Over-the-Ear Headphones - Lunar Blue,wireless
JBL - Live 770NC Wireless Over-Ear Headphones with True Adaptive Noise Cancelling - 2024 - Black,wireless
Soundcore - by Anker Space One True Wireless Noise Cancelling Over-the-Ear Headphones - Black,wireless
Shokz - OpenRun Wireless Bone Conduction Open-Ear Bluetooth Endurance Headphones - Black,wireless
Sony - WH-1000XM5 Wireless Noise Cancelling Over-the-Ear Headphones - Black,wireless
Sony - WHCH720N Wireless Noise Cancelling Headphones - Black,wireless
Sonos - Ace Wireless Over-the-Ear Headphones with Active Noise Cancellation (Each) - Black,wireless
Sennheiser - HD 560S Wired Over-the-Ear Audiophile Headphones - Black,wired
JBL - Tune 770NC Adaptive Noise Cancelling Wireless Over-Ear Headphone - 2024 - White,wireless
Apple - AirPods Max (USB-C) - Midnight,unknown
Marshall - Major V Wireless On-Ear Bluetooth Headphones with Lightweight Foldable Design and Microphone for Calls - Cream,wireless
Skullcandy - Crusher ANC 2 Over-the-Ear Noise Canceling Wireless Headphones - Black/Tan,wireless
Sennheiser - RS 175 RF Wireless Headphone System for TV Listening with Bass Boost and Surround Sound Modes - Black,wireless
"JLab - JBuds Lux ANC Wireless Bluetooth Over-Ear Headphones with Active Noise Cancelling, Spatial Audio & 70+ Hour Battery - Sage",wireless
Beats - Solo 4 Bluetooth Wireless On-Ear Headphones - Gray,wireless
Sennheiser - HD 450BT Wireless Noise Cancelling Over-the-Ear Headphones - Black,wireless
"JLab - JBuds Lux ANC Wireless Bluetooth Over-Ear Headphones with Active Noise Cancelling, Spatial Audio & 70+ Hour Battery - Graphite",wireless
Sony - WH-1000XM4 Wireless Noise-Cancelling Over-the-Ear Headphones - Black,wireless
Skullcandy - Crusher Evo Over-the-Ear Wireless Headphones - Matte Black,wireless
Sonos - Ace Wireless Over-the-Ear Headphones with Active Noise Cancellation (Each) - Black,wireless
Skullcandy - Crusher ANC 2 Over-the-Ear Noise Canceling Wireless Headphones - Black/Tan,wireless
Sennheiser - MOMENTUM 4 Wireless Adaptive Noise-Canceling Over-The-Ear Headphones - White,wireless
Samsung - Galaxy Buds4 Pro Wireless Earbud Headphones - Black,wireless
Shokz - OpenRun Pro Premium Bone Conduction Open-Ear Sport Headphones - Black,unknown
"Sennheiser - ACCENTUM Wireless Bluetooth Around-the-ear Headphones – Hybrid Noise Cancelling (ANC), All-Day Comfort - Blue",wireless
Bose - Ultra Open-Ear True Wireless Open Earbuds - White Smoke,wireless
Skullcandy - Crusher Evo Over-the-Ear Wireless Headphones - Matte Black,wireless
Sennheiser - HD 569 Wired Over-the-Ear Headphones HD 5 - Black,wired
Sony - ZX Series Wired On-Ear Headphones - Black,wired
Shokz - OpenFit 2+ Open-Ear True Wireless Bluetooth Earbuds - Purple,wireless
Shokz - OpenRun Pro 2 Wireless Bone Conduction Open-Ear Bluetooth Sports Headphones - Black,wireless
Sennheiser - HDB 630 Around-the-ear Bluetooth Wireless Headphones - Black,wireless
JBL - Live 670NC Wireless On-Ear Headphones with True Adaptive Noise Cancelling - 2024 - Black,wireless
JVC - Over-the-Ear Headphones HAS75NB - Black,unknown
"TOZO - HT3 Wire/Wireless AI Noise Cancel Over Ear Bluetooth 6.0 Headphone, 90H, Hi-Res, APP 32EQ, Foldable Adjustable Headband - Blue",wireless
Skullcandy - Crusher 540 Active Wireless Over-Ear Headphones - Coal,wireless
Marshall - Major V Wireless On-Ear Bluetooth Headphones with Lightweight Foldable Design and Microphone for Calls - Black,wireless
"Sennheiser - ACCENTUM Wireless Bluetooth Around-the-ear Headphones – Hybrid Noise Cancelling (ANC), All-Day Comfort - Blue",wireless
Sennheiser - HD 400S Wired Over-the-Ear Headphones - Black,wired
"TOZO - HT3 Wire/Wireless AI Noise Cancel Over Ear Bluetooth 6.0 Headphone, 90H, Hi-Res, APP 32EQ, Foldable Adjustable Headband - Green",wireless
Skullcandy - Aviator 900 ANC Wireless Noise Cancelling Over-Ear Headphones - Black,wireless
Sennheiser - HDB 630 Around-the-ear Bluetooth Wireless Headphones - Black,wireless
JBL - Tune 660NC On-Ear Noise Cancelling Wireless Headphones - Black,wireless
Marshall - Major V Wireless On-Ear Bluetooth Headphones with Lightweight Foldable Design and Microphone for Calls - Black,wireless
"Soundcore - by Anker Q20i Over-Ear Headphones with Active Noise Cancelling, Deep Bass, and 40-Hour Playtime - Pink",unknown
Shokz - OpenFit Pro Open-Ear True Wireless Bluetooth Active Noise Reduction Earbuds - White,wireless
Beats - Solo Pro Wireless Noise Cancelling On-Ear Headphones - Gray,wireless
Marshall - Major IV Wireless On-Ear Bluetooth Headphones with Lightweight Foldable Design and Microphone for Calls - Black,wireless
Shokz - OpenFit Air Open-Ear True Wireless Earbuds - Black,wireless
Marshall - Monitor III A.N.C. Wireless Active Noise Cancelling Over-Ear Bluetooth Headphones with Microphone for Calls - Black,wireless
Sony - WHRF400 RF Wireless Headphones - Black,wireless
Bowers & Wilkins - Px8 Over-Ear Wireless Noise Cancelling Headphones - Dark Forest,wireless
Bowers & Wilkins - Px7 S2 Wireless Active Noise Cancelling Over Ear Headphones - Black,wireless
Soundcore - by Anker AeroFit 2 Open-Ear Headphones with Adjustable Ear Hooks - White,unknown
Denon - PerL Pro True Wireless Adaptive Active Noise Cancelling In-Ear Earbuds - White,wireless
"Tronsmart - Q20 Active Noise Cancelling Headphones, Wireless Over-Ear Bluetooth Headphones, 60H Playtime, Deep Bass, Comfort Fit - White",wireless
"VILINICE - Noise Cancelling Headphones, Wireless Bluetooth Headphones, Over Ear Headphones with Microphone",wireless
Soundcore - by Anker AeroClip Open-Ear Clip-On Earbud Headphones - Black,unknown
"Soundcore - by Anker Q20i Over-Ear Headphones with Active Noise Cancelling, Deep Bass, and 40-Hour Playtime - White",unknown
Skullcandy - Hesh 540 ANC Wireless Noise Cancelling Over-Ear Headphones - Black,wireless
Apple - EarPods (USB-C) - White,unknown
"TREBLAB - Z2-B ANC Workout Headphones, Signature HD Sound, Deep Bass, 58H Battery, Foldable Over Ear Bluetooth - Black with white logo",wireless
Shokz - OpenMove Bone Conduction Open Ear Lifestyle/Sport Headphones - Gray,unknown
Bowers & Wilkins - B&W Px8 S2 Over-Ear BluetoothHeadphones - Onyx Black,wireless
Sony - LinkBuds Clip Truly Wireless Open Earbuds - Greige,wireless
Bowers & Wilkins - Px7S3 Bluetooth Noise Cancelling Over-the-Ear Headphones - Frost Blue,wireless
JVC - True Wireless In-Ear HAA4TB - Black,wireless
Soundcore - by Anker V20i Open-Ear Headphones with Adjustable Ear Hooks - White,unknown
"Soundcore - C50i by Anker, Open-Ear Headphones, Clip-On Earbuds - White",unknown
JBL - JR460NC Wireless Over-Ear Noise Canceling Kids Headphones - White,wireless
Soundcore - by Anker Space One Pro True Wireless Over-the-Ear Noise Cancelling Headphones - White,wireless
Insignia™ - Lightning Wired Earbud Headphones - White,wired
JLab - GO LUX ANC Wireless On-Ear Headphones - Mauve,wireless
HamiltonBuhl - Personal On-Ear Stereo Headphone,unknown
"Soundcore - V40i by Anker, Open-Ear Headphones - White",unknown
Yamaha - YH-5000SE Over-Ear Headphones with Aluminum Headphone Stand - Black,unknown
Beats - Studio Pro Wireless Noise Cancelling Over-the-Ear Headphones + Power Adapter - Gray,wireless
"Beyerdynamic - AVENTHO 300 Wireless Over-Ear Headphones with ANC, Dolby Atmos and Head Tracking - Black",wireless
Skullcandy - Crusher 3.0 Wireless Over-the-Ear Heaphones - Black,wireless
JLab - GO LUX ANC Wireless On-Ear Headphones - Mauve,wireless
"Soundcore - Life Q30 by Anker, Hybrid Active Noise Cancelling Headphones, White - Beige",unknown
JVC - Powerful Sound On Ear Headphones - Black,unknown
"TOZO - Open-Ear Headphones,Bluetooth 5.3 Air Conduction Wireless Headphones,Noise Cancelling Mic,Stereo Bass,16H,APP-32EQ,IPX5 - Black",wireless
Sony - WIC100 Wireless In-ear Headphone - Black,wireless
Insignia™ - RF Wireless Over-the-Ear Headphones - Black,wireless
"RadioShack - Open-Ear Wireless Headphones with Bone & Air Conduction Audio, Dual-Mic Noise Cancellation, IPX5 3304460 - Black",wireless
JVC - Open-Ear Headphones HANP1TB - Black,unknown
Beats - Studio Pro - Wireless Noise Cancelling Over-the-Ear Headphones - Only at Best Buy - Black/Gold,wireless
JBL - TUNE520BT wireless on-ear headphones - 2024 - Black,wireless
JVC - Over-the-Ear Headphones HAS95NB - Black,unknown
Sony - Noise Cancelling Wired On-Ear Headphones - Black,wired
"Soundcore - V40i by Anker, Open-Ear Headphones - Black",unknown
Beyerdynamic - DT 770 PRO 80 Ohm Over-Ear Studio Headphones - Black,unknown
JLab - Studio Wireless On-Ear Headphones - Black,wireless
Skullcandy - Icon ANC Over-the-Ear Noise Canceling Wireless Headphones - Black,wireless
Sony - EX155AP EX Series Wired In-Ear Headphones - Black,wired
JVC - Open-Ear Headphones HANP40TB - Black,unknown
JBL - Tune 670NC Adaptive Noise Cancelling Wireless On-Ear Headphone -2024 - Black,wireless
"Beyerdynamic - AVENTHO 300 Wireless Over-Ear Headphones with ANC, Dolby Atmos and Head Tracking - Black",wireless
JBL - SoundGear Sense Hybrid Open-Ear headphones with detachable neckband - 2024 - Black,unknown
JVC - Wired Gumy Plus In Ear Headphones with Microphone and Remote - Black,wired
Shokz - OpenSwim Pro Wireless Bone Conduction Open-Ear Bluetooth Sports Headphones - Gray,wireless
Sennheiser - HD 560S Wired Over-the-Ear Audiophile Headphones - Black,wired
"JLab - JBuds Lux ANC Wireless Bluetooth Over-Ear Headphones with Active Noise Cancelling, Spatial Audio & 70+ Hour Battery - Graphite",wireless
JLab - JBuddies Studio Wireless On-Ear Headphones - Purple,wireless
Cluzine - Digital FM Radio Headphones with Ear Protection,unknown
Marshall - Major V Wireless On-Ear Bluetooth Headphones with Lightweight Foldable Design and Microphone for Calls - Black,wireless
JLab - Studio 2 Wired On-ear Headphones - Lilac,wired
RØDE - NTH-100M Professional Over-the-Ear Headphones - Black,unknown
Sony - WH-1000XM5 Wireless Noise Cancelling Over-the-Ear Headphones - Black,wireless
Samson - SR Wired Over-the-Ear Headphones - Black,wired
Insignia™ - USB-C Wired Earbud Headphone - Black,wired
Sony - MDR-ZX110NC Noise-Canceling On-Ear Headphone + In Ear Headphones + Software - Black,unknown
Apple - EarPods with Lightning Connector - White,unknown
JLab - JBuddies Studio Pro Over-Ear Headphones - Black,unknown
Marshall - Monitor III A.N.C. Wireless Active Noise Cancelling Over-Ear Bluetooth Headphones with Microphone for Calls - Black,wireless
Beyerdynamic - AVENTHO 100 Wireless On-Ear Headphones with ANC in Cream - New Update Available via App,wireless
iLive - Wireless On-Ear Headphones - Matte Black,wireless
JVC - Wireless Deep Bass On-Ear Headphones - Black,wireless
JBL - Tune 510BT Wireless On-Ear Headphones - Black,wireless
JBL - TUNE 500BT Wireless On-Ear Headphones - Black,wireless
Panasonic - ErgoFit In-Ear Earbud Headphones - Red,unknown
Beats - Solo 4 Bluetooth Wireless On-Ear Headphones - Gray,wireless
Bose - Ultra Open-Ear True Wireless Open Earbuds - White Smoke,wireless
JBL - TUNE 110 Wired In-Ear Headphones - Black,wired
JVC - In-Ear Headphones HAFR9UCB - Black,unknown
Marshall - Major V Wireless On-Ear Bluetooth Headphones with Lightweight Foldable Design and Microphone for Calls - Cream,wireless
JLab - JBuddies Studio On-Ear Kids Wired Headphones - Peach,wired
Soundcore - by Anker Sleep A20 Noise Masking True Wireless Earbud Headphones - Slumber Beige,wireless
Sonos - Ace Wireless Over-the-Ear Headphones with Active Noise Cancellation (Each) - Black,wireless
Shokz - OpenFit 2 Open-Ear True Wireless Earbuds - Black,wireless
Spracht - ZUM ZUM350M Wired On-Ear Headphones - Black,wired
Skullcandy - Crusher ANC 2 Over-the-Ear Noise Canceling Wireless Headphones - Black/Tan,wireless
Shokz - OpenFit Air Open-Ear True Wireless Earbuds - Black,wireless
HamiltonBuhl - Ear Bud Headphone,unknown
Soundcore - by Anker H30i Wireless On-Ear Headphones - Black,wireless
1More - Quad Driver Wired In-Ear Headphones - Titanium,wired
1More - Triple Driver Wired In-Ear Headphones - Titanium,wired
Skullcandy - Crusher Evo Over-the-Ear Wireless Headphones - Matte Black,wireless
Sennheiser - MOMEMTUM 4 Wireless Adaptive Noise-Canceling Over-The-Ear Headphones - Denim,wireless
Spracht - ZUM ZUM350B Wired On-Ear Headphones - Black,wired
HamiltonBuhl - Personal On-Ear Stereo Headphone,unknown
PreSonus - HD9 Over-the-Ear Headphones - Black,unknown
Audio-Technica - Audio Technica ATH-AVC200 Wired SonicPro Over-Ear Headphone - Black,wired
Apple - EarPods with 3.5mm Plug - White,unknown
Sony - WH-1000XM5 Wireless Noise Cancelling Over-the-Ear Headphones - Smoky Pink,wireless
JLab - JBuds Open Wireless Open-Ear Headphones - Black,wireless
HyperGear - Vibe Wireless Over-Ear Headphones - Red,wireless
"Califone - On-Ear Headphones with 3.5mm Plug, Black",unknown
Bose - QuietComfort True Wireless Noise Cancelling In-Ear Earbuds - Black,wireless
Shokz - OpenFit Pro Open-Ear True Wireless Bluetooth Active Noise Reduction Earbuds - White,wireless
Sony - WH-1000XM5 Over-Ear Headphones Silver with JBL T110 in Ear Headphones - White,unknown
Sennheiser - HD 660S2 Wired Over-the-Ear Headphones - Black,wired
Marshall - Monitor III A.N.C. Wireless Active Noise Cancelling Over-Ear Bluetooth Headphones with Microphone for Calls - Black,wireless
JLab - Studio ANC Wireless On-Ear Headphones - Black,wireless
eKids - Bluey Over-the-Ear Wireless Headphones - Blue,wireless
Marshall - Major V Wireless On-Ear Bluetooth Headphones with Lightweight Foldable Design and Microphone for Calls - Midnight Blue,wireless
JBL - Tune 235NC True Wireless Noise Cancelling In-Ear Earbuds - Black,wireless
Beats - Solo³ Wireless On-Ear Headphones - Rose Gold,wireless
JBL - Junior 320 Wired Kids On-Ear Headphones - 2025 - Purple,wired
Skullcandy - Ink'D+ Wired In-Ear Headphones - Cobalt Blue,wired
JBL - TUNE520BT On-Ear Bluetooth headphones - 2024 - Purple,wireless
Sennheiser - HDB 630 Around-the-ear Bluetooth Wireless Headphones - Black,wireless
"TOZO - HT3 Wire/Wireless AI Noise Cancel Over Ear Bluetooth 6.0 Headphone, 90H, Hi-Res, APP 32EQ, Foldable Adjustable Headband - Blue",wireless
Oladance - OWS 2 Wearable Stereo True Wireless Open Ear Headphones - Interstellar Blue,wireless
Skullcandy - Icon 180 On-Ear Wireless Bluetooth Headphones - Black,wireless
Sony - Wireless Over-Ear Noise-Canceling Headphones WH-CH720N + in-Ear Headphones - Black,wireless
ENHANCE - INFILTRATE GX-H4 Over-the-Ear Headphones - Black,unknown
Panasonic - Earbud Headphones - Black,unknown
"Sennheiser - ACCENTUM Wireless Bluetooth Around-the-ear Headphones – Hybrid Noise Cancelling (ANC), All-Day Comfort - Blue",wireless
Reiko - In-Ear Headphones With Mic In - Black,unknown
