"cleaned_text","mentions_wireless","mentions_wired","sentiment","text_length","label"
"like headphones better audio but like earbuds working out because headphones get sweat stains like earbuds just carry my pocket",1,1,"positive",127,1
"was never fan of headphones even though actual sound quality better than earbuds",1,1,"positive",80,1
"earbuds have gotten better within years buttt thing with earbuds",1,0,"positive",64,1
"they can sometimes feel like they slowly being pushing themselves out your ear you have regularly keep pushing them back",0,0,"positive",120,1
"as opposed headphones usually do have better sound quality better bass you do have worry less with battery life",0,1,"positive",111,1
"theyre also great winter as personal earmuffs",0,0,"positive",45,1
"good working out somewhat as said others will be able hear what your hearing it your have them loud enough",0,0,"positive",106,1
"actually would recommend bose earbuds with good noise cancellation quality better because its easier take anywhere else with you as long as it has better sound quality music sound gaming so yeah noise cancellation earbuds wins oh yeah music my ears",1,0,"positive",248,1
"thats where earbuds shine true wireless buds super convenient",1,0,"positive",61,1
"nowadays theyve gotten so good with anc",0,0,"positive",39,1
"even ldacaptx support that they dont feel like downgrade anymore sound quality gap smaller than ever",0,0,"positive",100,1
"earbuds when im outside just want something lightweight its not really about which ones better",1,0,"positive",94,1
"its honestly best own both different tools different situations",0,0,"positive",63,1
"what do u guys think about neckbands its great thing ig im waiting replies",0,0,"positive",74,1
"ear buds better because when not using listening component",1,0,"positive",58,1
"problem with earbuds that they can fall out of your ear be frightfully difficult find",1,0,"negative",85,0
"headphones dont fall out of your ears",0,1,"negative",37,0
"earbuds fall out of your ears",1,0,"negative",29,0
"do love regular headphones music",0,1,"positive",32,1
"earbuds good laying down watching vids dozing off music night my opinion",1,0,"positive",72,1
"only wear headphones when im gaming because my earbuds suck spacial audio mean they dont suck but have steelseries headphones directional audio way better rely mostly on sound find where people bluetooth super noticeable even on low latency mode so my cmf buds pro go out when im gaming",1,1,"positive",286,1
"ive had bluetooth headphones before but didnt like them because they left headphone dent my hair it made my head really ichy because it compresses my hair down my scalp look stupid anc on my earbuds also super good they make everything super quiet love silence",1,1,"positive",260,1
"earbuds much greater flexibility convenience",1,0,"positive",44,1
"ive owned openback headphone he stealth own earbudiem elysian annihilator headphone far worse",0,1,"negative",93,0
"quality very poor muddy uneven earbuds have proper bass boosts",1,0,"negative",62,0
"even treble mids headphone were worse exact same thing would happen with susvara unveiled",0,1,"negative",89,0
"have just used earbuds have been so impressed with them that no longer want listen streamed music from my active speakers my listening environment not best rear wall mirrored",1,0,"positive",174,1
