word,coefficient,type,abs_coef
bluetooth,3.365150694757525,Wireless,3.365150694757525
jack,-1.5979221944922435,Wired,1.5979221944922435
headphone,-1.5042273823617407,Wired,1.5042273823617407
bose,1.3536338272162278,Wireless,1.3536338272162278
wireless,1.3307655498692874,Wireless,1.3307655498692874
airpods,1.0687000900514843,Wireless,1.0687000900514843
pair,1.055931136173173,Wireless,1.055931136173173
wired,-0.9361622055735207,Wired,0.9361622055735207
app,0.9105064862502114,Wireless,0.9105064862502114
ear,0.8658720920452352,Wireless,0.8658720920452352
cancelling,0.7984457440478815,Wireless,0.7984457440478815
noise,0.7706159048377903,Wireless,0.7706159048377903
cancellation,0.6786302162475842,Wireless,0.6786302162475842
ve,-0.675341411883531,Wired,0.675341411883531
just,-0.6509924784655902,Wired,0.6509924784655902
example,-0.6333772620441567,Wired,0.6333772620441567
usb,-0.6189923729047563,Wired,0.6189923729047563
set,0.6178331831677256,Wireless,0.6178331831677256
5mm,-0.5991619008844485,Wired,0.5991619008844485
connect,0.5888539903955057,Wireless,0.5888539903955057
audiophile,-0.5803130065152005,Wired,0.5803130065152005
anc,0.5768671864337958,Wireless,0.5768671864337958
dac,-0.5721649662299858,Wired,0.5721649662299858
audio,-0.5405749807751423,Wired,0.5405749807751423
android,0.5096610453397623,Wireless,0.5096610453397623
20,0.5075005320685715,Wireless,0.5075005320685715
work,0.5071066327505671,Wireless,0.5071066327505671
problem,-0.47902567074649766,Wired,0.47902567074649766
jacks,-0.4789583116210762,Wired,0.4789583116210762
actually,0.47166741581116484,Wireless,0.47166741581116484
